bus_185_go,price
ตรงข้าม มศว (ฝั่งอโศก),
ARL มักกะสัน,8บาท
ใต้ทางด่วนอโศก (ขาออก),8บาท
ฟอร์จูนทาวน์,8บาท
สถานทูตจีน,8บาท
เอสพลานาด รัชดาภิเษก,8บาท
บิ๊กซีรัชดาภิเษก,8บาท
ตรงข้ามโรงเรียนเตรียมอุดมศึกษาพัตนาการ รัชดา,8บาท
โรงแรมดิเอมเมอรัลด์,8บาท
MRT ห้วยขวาง (ทางออก 3),8บาท
MRT ห้วยขวาง (ทางออก 4),8บาท
โรงเรียนเตรียมอุดมศึกษาน้อมเกล้า กุนนที,8บาท
อาคารกลาสเฮ้าส์ รัชดา,8บาท
สน.สุทธิสาร,8บาท
บุญถาวร รัชดาภิเษก (ขาออก),8บาท
โรงเรียนปัญจทรัพย์,8บาท
ศาลแขวงพระนครเหนือ,8บาท
ศาลอาญา,8บาท
ตรงข้าม ม.ราชภัฎจันทรเกษม,8บาท
ตรงข้ามซอยเสือใหญ่,8บาท
ตรงข้ามซอยรัชดาภิเษก 42,8บาท
สน.พหลโยธิน,8บาท
BTS รัชโยธิน (ทางออก 3),8บาท
ตรงข้ามตลาดบางเขน,8บาท
กรมพัฒนาที่ดิน,8บาท
ม.เกษตรศาสตร์ (ประตูพหลโยธิน),8บาท
กรมส่งเสริมการเกษตร,8บาท
สำนักงานคณะกรรมการวิจัยแห่งชาติ,8บาท
กรมป่าไม้,8บาท
ตรงข้ามโรงเรียนสารวิทยา,8บาท
ตรงข้าม ม.ศรีปทุม,8บาท
โรงเรียนบางบัว,8บาท
หมู่บ้านถาวรวิลล่าบางบัว 1,8บาท
บ้านบางเขน,8บาท
ซอยพหลโยธิน 49/2,8บาท
ก่อนอู่บางเขน,8บาท
วัดพระศรีมหาธาตุ,8บาท
ตรงข้ามโลตัสหลักสี่,8บาท
ซอยพหลโยธิน 61,8บาท
ซอยพหลโยธิน 65,8บาท
ตรงข้ามซอยสายหยุด,8บาท
ตรงข้าม รพ.เซ็นทรัลเยนเนอรัล,8บาท
ตรงข้ามบิ๊กซีสะพานใหม่,8บาท
ตลาดไทยณรงค์,8บาท
ตลาดยิ่งเจริญ,8บาท
ตรงข้ามซอยพหลโยธิน 54/1,8บาท
ตรงข้ามช่องทางท่าดินแดง 2,8บาท
ตรงข้าม รพ.ภูมิพลอดุลยเดช,8บาท
ตรงข้ามหอประชุมกองทัพอากาศ,8บาท
ตรงข้ามโรงเรียนฤทธิยะวรรณาลัย,8บาท
พิพิธภัณฑ์กองทัพอากาศ,8บาท
กองบัญชาการกองทัพอากาศ,8บาท
BTS แยก คปอ. (ทางออก 3),8บาท
ตรงข้ามพหลโยธิน กม.25,8บาท
หมู่บ้านเจษฎา 1,8บาท
ตรงข้ามพหลโยธิน กม.26,8บาท
ตรงข้ามหมู่บ้านแอนเน็กซ์,8บาท
ตรงข้ามหมู่บ้านการ์เด้นโฮม,8บาท
ตรงข้าม รพ.บีแคร์,8บาท
ตรงข้ามพหลโยธิน กม.27,8บาท
ก่อนแยกลำลูกกา,8บาท
บิ๊กซีรังสิต 2,8บาท
ตลาดสี่มุมเมือง,8บาท
วัดประยูรธรรมาราม,8บาท
เมืองเอก,8บาท
แม็คโครรังสิต,8บาท
วัดประยูรธรรมาราม,8บาท
เมืองเอก,8บาท
แม็คโครรังสิต,8บาท
ตลาดรังสิต,8บาท
ตรงข้ามหมู่บ้านรัตนโกสินทร์ 200 ปี,8บาท
อู่รังสิต,8บาท
